是否是合法影院,接入方, third_id, 影院名,影院id,bid, 加密bid, 影院url, 排期url, 排期来源,电影信息
1,dadi, '0146,观澜兴万达, '2027,'11922315465629998744,'67399b42d374800846e2747e,http://www.nuomi.com/cinema/67399b42d374800846e2747e,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=67399b42d374800846e2747e&mid=9422&needMovieInfo=1&tploption=1&_=1428996546
http://www.nuomi.com/pcindex/main/timetable?cinemaid=67399b42d374800846e2747e&mid=8901&needMovieInfo=1&tploption=1&_=1428996547
http://www.nuomi.com/pcindex/main/timetable?cinemaid=67399b42d374800846e2747e&mid=9410&needMovieInfo=1&tploption=1&_=1428996547
","dadi
","9422/速度与激情7/40
8901/战狼/3
9410/咱们结婚吧/1
"
1,dadi, '0148,昆山乐购, '2714,'9725188322854372857,'d025ede33fbae7f9f7b91628,http://www.nuomi.com/cinema/d025ede33fbae7f9f7b91628,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=d025ede33fbae7f9f7b91628&mid=9422&needMovieInfo=1&tploption=1&_=1428996550
http://www.nuomi.com/pcindex/main/timetable?cinemaid=d025ede33fbae7f9f7b91628&mid=8901&needMovieInfo=1&tploption=1&_=1428996550
http://www.nuomi.com/pcindex/main/timetable?cinemaid=d025ede33fbae7f9f7b91628&mid=9410&needMovieInfo=1&tploption=1&_=1428996550
","dadi
","9422/速度与激情7/47
8901/战狼/6
9410/咱们结婚吧/1
"
1,dadi, '0149,三明会展中心, '1981,'2305570450100538314,'de826b1e4dc5243103ec0105,http://www.nuomi.com/cinema/de826b1e4dc5243103ec0105,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=de826b1e4dc5243103ec0105&mid=9422&needMovieInfo=1&tploption=1&_=1428996557
http://www.nuomi.com/pcindex/main/timetable?cinemaid=de826b1e4dc5243103ec0105&mid=8901&needMovieInfo=1&tploption=1&_=1428996558
http://www.nuomi.com/pcindex/main/timetable?cinemaid=de826b1e4dc5243103ec0105&mid=9427&needMovieInfo=1&tploption=1&_=1428996558
","dadi
","9422/速度与激情7/18
8901/战狼/2
9427/冲锋车/1
"
1,dadi, '0150,长春乐天玛特, '2641,'10808669887100988291,'000aaa2f660c9328adb22a2b,http://www.nuomi.com/cinema/000aaa2f660c9328adb22a2b,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=000aaa2f660c9328adb22a2b&mid=9422&needMovieInfo=1&tploption=1&_=1428996562
http://www.nuomi.com/pcindex/main/timetable?cinemaid=000aaa2f660c9328adb22a2b&mid=8901&needMovieInfo=1&tploption=1&_=1428996562
http://www.nuomi.com/pcindex/main/timetable?cinemaid=000aaa2f660c9328adb22a2b&mid=9410&needMovieInfo=1&tploption=1&_=1428996562
http://www.nuomi.com/pcindex/main/timetable?cinemaid=000aaa2f660c9328adb22a2b&mid=9414&needMovieInfo=1&tploption=1&_=1428996563
http://www.nuomi.com/pcindex/main/timetable?cinemaid=000aaa2f660c9328adb22a2b&mid=8883&needMovieInfo=1&tploption=1&_=1428996563
","dadi
","9422/速度与激情7/49
8901/战狼/3
9410/咱们结婚吧/5
9414/王牌特工：特工学院/3
8883/我是女王/1
"
1,dadi, '0151,南阳红都百货, '1857,'6298473598046716926,'07b361724c51bb34081cc7d5,http://www.nuomi.com/cinema/07b361724c51bb34081cc7d5,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=9422&needMovieInfo=1&tploption=1&_=1428996566
http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=8901&needMovieInfo=1&tploption=1&_=1428996566
http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=9410&needMovieInfo=1&tploption=1&_=1428996566
http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=9414&needMovieInfo=1&tploption=1&_=1428996567
http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=8883&needMovieInfo=1&tploption=1&_=1428996575
http://www.nuomi.com/pcindex/main/timetable?cinemaid=07b361724c51bb34081cc7d5&mid=9427&needMovieInfo=1&tploption=1&_=1428996575
","dadi
","9422/速度与激情7/69
8901/战狼/9
9410/咱们结婚吧/6
9414/王牌特工：特工学院/1
8883/我是女王/2
9427/冲锋车/1
"
1,dadi, '0152,化州忠信广场, '4063,'962246563279217532,'6e0a2ab0168430843ce23164,http://www.nuomi.com/cinema/6e0a2ab0168430843ce23164,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=6e0a2ab0168430843ce23164&mid=9422&needMovieInfo=1&tploption=1&_=1428996578
http://www.nuomi.com/pcindex/main/timetable?cinemaid=6e0a2ab0168430843ce23164&mid=8901&needMovieInfo=1&tploption=1&_=1428996578
","dadi
","9422/速度与激情7/54
8901/战狼/1
"
1,dadi, '0153,山东寿光缤纷五洲, '2216,'10147514071357635117,'69584ba378f6fbd80c0a7024,http://www.nuomi.com/cinema/69584ba378f6fbd80c0a7024,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=69584ba378f6fbd80c0a7024&mid=9422&needMovieInfo=1&tploption=1&_=1428996581
http://www.nuomi.com/pcindex/main/timetable?cinemaid=69584ba378f6fbd80c0a7024&mid=8901&needMovieInfo=1&tploption=1&_=1428996582
http://www.nuomi.com/pcindex/main/timetable?cinemaid=69584ba378f6fbd80c0a7024&mid=9410&needMovieInfo=1&tploption=1&_=1428996582
http://www.nuomi.com/pcindex/main/timetable?cinemaid=69584ba378f6fbd80c0a7024&mid=8883&needMovieInfo=1&tploption=1&_=1428996582
","dadi
","9422/速度与激情7/47
8901/战狼/4
9410/咱们结婚吧/1
8883/我是女王/1
"
1,dadi, '0154,金坛八佰伴, '1226,'15100299886713496716,'d25a1cb60d4c7826ebe582ad,http://www.nuomi.com/cinema/d25a1cb60d4c7826ebe582ad,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=d25a1cb60d4c7826ebe582ad&mid=9422&needMovieInfo=1&tploption=1&_=1428996585
http://www.nuomi.com/pcindex/main/timetable?cinemaid=d25a1cb60d4c7826ebe582ad&mid=8901&needMovieInfo=1&tploption=1&_=1428996585
","dadi
","9422/速度与激情7/43
8901/战狼/2
"
1,dadi, '0155,铜仁蓝波湾, '2195,'14199826987408694215,'e9a2e1581a74382f873304ff,http://www.nuomi.com/cinema/e9a2e1581a74382f873304ff,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=e9a2e1581a74382f873304ff&mid=9422&needMovieInfo=1&tploption=1&_=1428996588
http://www.nuomi.com/pcindex/main/timetable?cinemaid=e9a2e1581a74382f873304ff&mid=8901&needMovieInfo=1&tploption=1&_=1428996589
http://www.nuomi.com/pcindex/main/timetable?cinemaid=e9a2e1581a74382f873304ff&mid=9410&needMovieInfo=1&tploption=1&_=1428996589
","dadi
","9422/速度与激情7/49
8901/战狼/4
9410/咱们结婚吧/1
"
1,dadi, '0156,唐山通达商城, '2157,'1394821791602926566,'496b593ca776a7db71210b16,http://www.nuomi.com/cinema/496b593ca776a7db71210b16,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=496b593ca776a7db71210b16&mid=9422&needMovieInfo=1&tploption=1&_=1428996593
http://www.nuomi.com/pcindex/main/timetable?cinemaid=496b593ca776a7db71210b16&mid=9410&needMovieInfo=1&tploption=1&_=1428996593
http://www.nuomi.com/pcindex/main/timetable?cinemaid=496b593ca776a7db71210b16&mid=9434&needMovieInfo=1&tploption=1&_=1428996593
http://www.nuomi.com/pcindex/main/timetable?cinemaid=496b593ca776a7db71210b16&mid=9427&needMovieInfo=1&tploption=1&_=1428996594
","dadi
","9422/速度与激情7/41
9410/咱们结婚吧/4
9434/万物生长/1
9427/冲锋车/1
"
