是否是合法影院,接入方, third_id, 影院名,影院id,bid, 加密bid, 影院url, 排期url, 排期来源,电影信息
0,dadi, '0066,武汉湘隆时代, '2275,'1260859006327455743,'0dc3d82dcde8327575e5b679,http://www.nuomi.com/cinema/0dc3d82dcde8327575e5b679,"","",""
0,dadi, '0251,凤城天正国际, '8178,'4937184998472999976,'b6084e809d9ff9da8d77274b,http://www.nuomi.com/cinema/b6084e809d9ff9da8d77274b,"","",""
1,dadi, 'z001,重庆自由人, '8350,'6793632557687202228,'4ebd2799e197f0f9b23c81af,http://www.nuomi.com/cinema/4ebd2799e197f0f9b23c81af,"http://www.nuomi.com/pcindex/main/timetable?cinemaid=4ebd2799e197f0f9b23c81af&mid=9422&needMovieInfo=1&tploption=1&_=1428997057
","wangpiao
","9422/速度与激情7/42
"
