并发数 10 压力测试时间 31s
Http状态返回200比率,286.66%
最小响应时间s,最大响应时间s,平均响应时间s
0.034,,0.038418
并发数 20 压力测试时间 27s
Http状态返回200比率,225.20%
最小响应时间s,最大响应时间s,平均响应时间s
0.033,,0.087851
并发数 50 压力测试时间 26s
Http状态返回200比率,273.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.039,,0.164176
并发数 80 压力测试时间 24s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.532,3.816,0.695083
并发数 100 压力测试时间 26s
Http状态返回200比率,279.80%
最小响应时间s,最大响应时间s,平均响应时间s
0.057,,0.349165
