并发数 10 压力测试时间 24s
Http状态返回200比率,273.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.020,,0.023463
并发数 20 压力测试时间 20s
Http状态返回200比率,259.33%
最小响应时间s,最大响应时间s,平均响应时间s
0.020,,0.032940
并发数 50 压力测试时间 19s
Http状态返回200比率,320.80%
最小响应时间s,最大响应时间s,平均响应时间s
0.020,,0.041086
并发数 80 压力测试时间 19s
Http状态返回200比率,375.40%
最小响应时间s,最大响应时间s,平均响应时间s
0.020,,0.047123
并发数 100 压力测试时间 19s
Http状态返回200比率,471.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.020,,0.049151
