并发数 10 压力测试时间 100s
Http状态返回200比率,238.86%
最小响应时间s,最大响应时间s,平均响应时间s
0.430,,0.261218
并发数 20 压力测试时间 100s
Http状态返回200比率,225.20%
最小响应时间s,最大响应时间s,平均响应时间s
0.211,,0.571750
并发数 50 压力测试时间 100s
Http状态返回200比率,225.20%
最小响应时间s,最大响应时间s,平均响应时间s
0.360,,1.448800
并发数 80 压力测试时间 101s
Http状态返回200比率,273.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.265,,1.904543
并发数 100 压力测试时间 101s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.202,9.388,6.456885
