并发数 10 压力测试时间 28s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.040,3.085,0.095583
并发数 20 压力测试时间 27s
Http状态返回200比率,286.66%
最小响应时间s,最大响应时间s,平均响应时间s
0.067,,0.067960
并发数 50 压力测试时间 24s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.033,0.947,0.408417
并发数 80 压力测试时间 25s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.379,1.541,0.669577
并发数 100 压力测试时间 21s
Http状态返回200比率,100.00%
最小响应时间s,最大响应时间s,平均响应时间s
0.055,4.225,0.935880
